date,high,open,close,low,amount,vol
20050110,1192.75,1191.25,1184,1181.75,1,759233
20050111,1189.75,1186,1187.5,1176.75,1,948455
20050112,1190.25,1187.75,1178,1176.25,1,727580
20050113,1186.75,1178.25,1183.75,1176.75,1,518753
20050117,1197.75,1185,1195.75,1180.5,1,777663
20050118,1197.25,1196,1183.5,1183.25,1,730230
20050119,1183,1181.5,1176.5,1174,1,929786
20050120,1180.75,1177.25,1168.5,1167.25,1,900208
20050123,1174.25,1170,1166.25,1164.25,1,854722
20050124,1175.5,1166.25,1169.75,1166,1,739854
20050125,1176.75,1169.75,1173.25,1169.5,1,751462
20050126,1178,1173,1174.75,1170.25,1,732660
20050127,1177.5,1175.25,1174.75,1166.25,1,829911
20050130,1183,1176.75,1181.75,1176.75,1,669875
20050131,1191,1181.25,1189.25,1179.5,1,651757
20050201,1196,1189.75,1193.25,1189,1,587228
20050202,1193.5,1192.25,1189.5,1185.75,1,569604
20050203,1204.5,1189.75,1202,1188.25,1,654585
20050206,1205,1202.75,1200.75,1199.5,1,441330
20050207,1206.25,1201,1202.25,1200,1,458474
20050208,1204.5,1201.75,1193,1191.75,1,674518
20050209,1199.5,1192.5,1196.5,1191.75,1,624507
20050210,1210,1196.75,1207,1193.75,1,807304
20050213,1208.5,1207.75,1206.25,1204,1,417612
20050214,1213.5,1206.25,1210.75,1205.5,1,677146
20050215,1213.5,1210.5,1210.5,1203.5,1,659402
20050216,1212,1210.75,1201,1200.75,1,807624
20050217,1203.75,1201.25,1202.25,1197.5,1,600297
20050221,1203.25,1203,1184.75,1184,1,949859
20050222,1194,1185,1192.75,1183.5,1,761306
20050223,1201.5,1192.75,1200.75,1188,1,749925
20050224,1213.25,1200.75,1212,1199.75,1,657702
20050227,1214.75,1212,1204,1198.25,1,746263
20050228,1213.25,1204.5,1210,1203,1,646303
20050301,1217,1210.25,1209.5,1204,1,864801
20050302,1216.75,1209.75,1210,1204.5,1,802229
20050303,1225.75,1210,1224.25,1209.25,1,709416
20050306,1229.75,1225.75,1225.25,1223.25,1,590194
20050307,1226.5,1225.75,1220.5,1218.5,1,678481
20050308,1224,1220.75,1207,1206.5,1,1057580
20050309,1211.75,1206.75,1209.5,1201,1,352653
20050310,1218.5,1215.5,1205.5,1202.5,1,893746
20050313,1212.5,1205.75,1212,1203.75,1,708213
20050314,1216.25,1212.25,1202.75,1201.75,1,910448
20050315,1206.25,1202.5,1192,1189.5,1,1026859
20050316,1198,1192.5,1194,1190.25,1,761057
20050317,1197,1194.25,1190.75,1186.5,1,787043
20050320,1193.5,1191.5,1186.25,1182.5,1,664651
20050321,1193.75,1186.25,1174.25,1172,1,859051
20050322,1180.25,1173,1174.5,1168.75,1,865506
20050323,1184.25,1174.75,1175.5,1174.5,1,658008
20050327,1183.5,1176,1177.5,1176,1,519128
