date,high,open,close,low,amount,vol
20050110,1192.75,-7.25,1184,1181.75,0.204545455,11
20050111,1189.75,3.5,1187.5,1176.75,0.826923077,13
20050112,1190.25,-9.5,1178,1176.25,0.125,14
20050113,1186.75,5.75,1183.75,1176.75,0.7,10
20050117,1197.75,12,1195.75,1180.5,0.884057971,17.25
20050118,1197.25,-12.25,1183.5,1183.25,0.017857143,14
20050119,1183,-7,1176.5,1174,0.277777778,9
20050120,1180.75,-8,1168.5,1167.25,0.092592593,13.5
20050123,1174.25,-2.25,1166.25,1164.25,0.2,10
20050124,1175.5,3.5,1169.75,1166,0.394736842,9.5
20050125,1176.75,3.5,1173.25,1169.5,0.517241379,7.25
20050126,1178,1.5,1174.75,1170.25,0.580645161,7.75
20050127,1177.5,0,1174.75,1166.25,0.755555556,11.25
20050130,1183,7,1181.75,1176.75,0.8,6.25
20050131,1191,7.5,1189.25,1179.5,0.847826087,11.5
20050201,1196,4,1193.25,1189,0.607142857,7
20050202,1193.5,-3.75,1189.5,1185.75,0.483870968,7.75
20050203,1204.5,12.5,1202,1188.25,0.846153846,16.25
20050206,1205,-1.25,1200.75,1199.5,0.227272727,5.5
20050207,1206.25,1.5,1202.25,1200,0.36,6.25
20050208,1204.5,-9.25,1193,1191.75,0.098039216,12.75
20050209,1199.5,3.5,1196.5,1191.75,0.612903226,7.75
20050210,1210,10.5,1207,1193.75,0.815384615,16.25
20050213,1208.5,-0.75,1206.25,1204,0.5,4.5
20050214,1213.5,4.5,1210.75,1205.5,0.65625,8
20050215,1213.5,-0.25,1210.5,1203.5,0.7,10
20050216,1212,-9.5,1201,1200.75,0.022222222,11.25
20050217,1203.75,1.25,1202.25,1197.5,0.76,6.25
20050221,1203.25,-17.5,1184.75,1184,0.038961039,19.25
20050222,1194,8,1192.75,1183.5,0.880952381,10.5
20050223,1201.5,8,1200.75,1188,0.944444444,13.5
20050224,1213.25,11.25,1212,1199.75,0.907407407,13.5
20050227,1214.75,-8,1204,1198.25,0.348484848,16.5
20050228,1213.25,6,1210,1203,0.682926829,10.25
20050301,1217,-0.5,1209.5,1204,0.423076923,13
20050302,1216.75,0.5,1210,1204.5,0.448979592,12.25
20050303,1225.75,14.25,1224.25,1209.25,0.909090909,16.5
20050306,1229.75,1,1225.25,1223.25,0.307692308,6.5
20050307,1226.5,-4.75,1220.5,1218.5,0.25,8
20050308,1224,-13.5,1207,1206.5,0.028571429,17.5
20050309,1211.75,2.5,1209.5,1201,0.790697674,10.75
20050310,1218.5,-4,1205.5,1202.5,0.1875,16
20050313,1212.5,6.5,1212,1203.75,0.942857143,8.75
20050314,1216.25,-9.25,1202.75,1201.75,0.068965517,14.5
20050315,1206.25,-10.75,1192,1189.5,0.149253731,16.75
20050316,1198,2,1194,1190.25,0.483870968,7.75
20050317,1197,-3.25,1190.75,1186.5,0.404761905,10.5
20050320,1193.5,-4.5,1186.25,1182.5,0.340909091,11
